,Atr9,Atr8,Atr18,Atr17,Atr15,Atr5,Atr11,Atr36,y_test,lin_reg_pred,knn_pred,naive_pred,SVM_rbf_auto_4pred,SVM_rbf_scale_4pred,SVM_rbf_auto_3pred,SVM_rbf_scale_3pred ,SVM_linear_auto_3pred,SVM_linear_scale_3pred,SVM_sigmoid_auto_3pred,SVM_sigmoid_scale_3pred,SVM_sigmoid_auto_4pred,SVM_sigmoid_scale_4pred,dt_pred,dt_entropy_3_random_pred,dt_entropy_pred,dt_entropy_4_random_pred,rt_100_pred,rt_100_entropy_4pred,rt_100_gini_4pred
0,4,4,4,4,4,4,4,0,1,0.859133844,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1,3,1,3,3,3,2,1,3,1,0.983411999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,3,3,3,3,4,1,0.998508413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,0,1,1,1,1,1,0,0,0.281642734,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
6,3,3,3,2,4,2,4,1,1,0.826792537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,4,3,3,3,4,3,3,4,1,1.04097245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,4,4,4,4,4,4,4,1,1.210907128,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
10,0,0,0,1,0,0,0,0,0,0.105670369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,4,4,4,4,4,4,2,1,1.035020486,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
12,0,0,1,1,1,0,1,0,0,0.363309302,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0.105670369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,4,4,4,3,4,4,4,1,1.16844309,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
15,0,0,0,1,2,0,1,0,0,0.233016145,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,4,3,4,4,2,4,4,1,1.223180231,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
19,3,2,2,4,3,4,4,4,1,1.029127415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,0,1,0,0,0.116117887,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
23,1,1,0,0,0,1,1,0,0,-0.04602059,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
24,4,4,4,3,4,4,4,4,1,1.114775745,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
25,3,3,3,4,3,4,4,4,1,1.098785253,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
26,1,1,0,0,0,0,0,0,0,-0.050166047,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0.009538986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,2,2,3,3,3,3,4,1,0.928850576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,3,2,2,3,3,3,3,4,1,0.928850576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3,3,3,4,3,4,4,3,1,1.010841932,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
31,3,3,3,3,3,3,3,4,1,0.998508413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0,1,0,0,0,0,0,0,0,-0.071863208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1,0,0.097482307,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
